skill	Id	charclass	skilldesc	srvstfunc	srvdofunc	prgstack	srvprgfunc1	srvprgfunc2	srvprgfunc3	prgcalc1	prgcalc2	prgcalc3	prgdam	srvmissile	decquant	lob	srvmissilea	srvmissileb	srvmissilec	srvoverlay	aurafilter	aurastate	auratargetstate	auralencalc	aurarangecalc	aurastat1	aurastatcalc1	aurastat2	aurastatcalc2	aurastat3	aurastatcalc3	aurastat4	aurastatcalc4	aurastat5	aurastatcalc5	aurastat6	aurastatcalc6	auraevent1	auraeventfunc1	auraevent2	auraeventfunc2	auraevent3	auraeventfunc3	auratgtevent	auratgteventfunc	passivestate	passiveitype	passivestat1	passivecalc1	passivestat2	passivecalc2	passivestat3	passivecalc3	passivestat4	passivecalc4	passivestat5	passivecalc5	passiveevent	passiveeventfunc	summon	pettype	petmax	summode	sumskill1	sumsk1calc	sumskill2	sumsk2calc	sumskill3	sumsk3calc	sumskill4	sumsk4calc	sumskill5	sumsk5calc	sumumod	sumoverlay	stsuccessonly	stsound	stsoundclass	stsounddelay	weaponsnd	dosound	dosound a	dosound b	tgtoverlay	tgtsound	prgoverlay	prgsound	castoverlay	cltoverlaya	cltoverlayb	cltstfunc	cltdofunc	cltprgfunc1	cltprgfunc2	cltprgfunc3	cltmissile	cltmissilea	cltmissileb	cltmissilec	cltmissiled	cltcalc1	*cltcalc1 desc	cltcalc2	*cltcalc2 desc	cltcalc3	*cltcalc3 desc	warp	immediate	enhanceable	attackrank	noammo	range	weapsel	itypea1	itypea2	itypea3	etypea1	etypea2	itypeb1	itypeb2	itypeb3	etypeb1	etypeb2	anim	seqtrans	monanim	seqnum	seqinput	durability	UseAttackRate	LineOfSight	TargetableOnly	SearchEnemyXY	SearchEnemyNear	SearchOpenXY	SelectProc	TargetCorpse	TargetPet	TargetAlly	TargetItem	AttackNoMana	TgtPlaceCheck	ItemEffect	ItemCltEffect	ItemTgtDo	ItemTarget	ItemCheckStart	ItemCltCheckStart	ItemCastSound	ItemCastOverlay	skpoints	reqlevel	maxlvl	reqstr	reqdex	reqint	reqvit	reqskill1	reqskill2	reqskill3	restrict	State1	State2	State3	delay	leftskill	repeat	checkfunc	nocostinstate	usemanaondo	startmana	minmana	manashift	mana	lvlmana	interrupt	InTown	aura	periodic	perdelay	finishing	passive	progressive	general	scroll	calc1	*calc1 desc	calc2	*calc2 desc	calc3	*calc3 desc	calc4	*calc4 desc	Param1	*Param1 Description	Param2	*Param2 Description	Param3	*Param3 Description	Param4	*Param4 Description	Param5	*Param5 Description	Param6	*Param6 Description	Param7	*Param7 Description	Param8	*Param8 Description	InGame	ToHit	LevToHit	ToHitCalc	ResultFlags	HitFlags	HitClass	Kick	HitShift	SrcDam	MinDam	MinLevDam1	MinLevDam2	MinLevDam3	MinLevDam4	MinLevDam5	MaxDam	MaxLevDam1	MaxLevDam2	MaxLevDam3	MaxLevDam4	MaxLevDam5	DmgSymPerCalc	EType	EMin	EMinLev1	EMinLev2	EMinLev3	EMinLev4	EMinLev5	EMax	EMaxLev1	EMaxLev2	EMaxLev3	EMaxLev4	EMaxLev5	EDmgSymPerCalc	ELen	ELevLen1	ELevLen2	ELevLen3	ELenSymPerCalc	aitype	aibonus	cost mult	cost add
Static Field	42	sor	static field		20																34691				ln12																																																				sorceress_cast_lightning											light_cast_1																					1	10		none												SC	SC	xx					4												1						sorceress_cast_lightning		(lvl<1)?1:((lvl<2)?2:((lvl<3)?4:((lvl<4)?8:((lvl<5)?16:((lvl<6)?20:((lvl<7)?24:((lvl<8)?28:((lvl<9)?30:40))))))))	1	10																			1	8	9	5	1										par4	damage %	par3	min damage					5	Base radius of effect.	1	Level radius bonus.	0	Minimum Damage.	25	Percent Damage.									1								8															ltng																					384	3000
Telekinesis	43	sor	telekinesis	12	21																				par1																																																				sorceress_cast_lightning				sorceress_telekinesis							light_cast_2																					1	10		none												SC	SC	xx														1			1						sorceress_telekinesis		(lvl<1)?1:((lvl<2)?2:((lvl<3)?4:((lvl<4)?8:((lvl<5)?16:((lvl<6)?20:((lvl<7)?24:((lvl<8)?28:((lvl<9)?30:40))))))))	1	10																			1	8	7	0	1	1																	25	On-screen cast range.	35	Chance to knockback/stun.													1				5	2	109		8															ltng	1	1	1	1	1	1	2	1	1	1	1	1	lvl*5*ulvl*6/5								384	3000
Frost Nova	44	sor	frost nova											FROZnovacenter3																																																															sorceress_cast_cold											ice_cast_2								FROZnovacenter3													1	6		none												SC	SC	SC																	1						sorceress_cast_cold	ice_cast_3	(lvl<1)?1:((lvl<2)?2:((lvl<3)?4:((lvl<4)?8:((lvl<5)?16:((lvl<6)?20:((lvl<7)?24:((lvl<8)?28:((lvl<9)?30:40))))))))	1	10												20							1	8	9	9	1																																10		1								7															cold	4	4	6	8	10	12	8	5	7	9	11	13	lvl*5*ulvl*6/5	200	25	25	25				384	3000
Ice Blast	45	sor	ice blast		28												bingpaoxiaoah3	bingpaoxiaoah3	bingpaoxiaoah3																																																										sorceress_cast_cold											ice_cast_1				28					bingpaoxiaoah3												1	6		none												SC	SC	xx					4				1								1						sorceress_cast_cold	ice_cast_3	(lvl<1)?1:((lvl<2)?2:((lvl<3)?4:((lvl<4)?8:((lvl<5)?16:((lvl<6)?20:((lvl<7)?24:((lvl<8)?28:((lvl<9)?30:40))))))))	1	10												20	1						1	7	12	8	1																														10	freeze synergy	8		1								7															cold	11	7	7	7	7	7	17	7	7	7	7	7	lvl*5*ulvl*6/5	75	5	5	5	(skill('Glacial Spike'.blvl))*par7			384	3000
Blaze	46	sor	blaze		18									phoenixcenter								blaze		17		hpregen	stat('maxhp'.accr)/125	item_absorbfire	ln12																																																sorceress_cast_fire											fire_cast_2																					1	3		none												SC	SC	xx																	1								(lvl<1)?1:((lvl<2)?2:((lvl<3)?4:((lvl<4)?8:((lvl<5)?16:((lvl<6)?20:((lvl<7)?24:((lvl<8)?28:((lvl<9)?30:40))))))))	1	10												12							1	7	22	18	1																		10	absfire	5	abs/lvl									1	damage synergy	4		1								8															fire	4	2	3	4	6	9	8	2	3	4	6	9	lvl*5*ulvl*6/5								512	8000
Fire Ball	47		fire ball		8												fireball																																																												sorceress_cast_fire											fire_cast_2				17				fireball	fireball												1	5		none												SC	SC	xx																	1						sorceress_cast_fire		(lvl<1)?1:((lvl<2)?2:((lvl<3)?4:((lvl<4)?8:((lvl<5)?16:((lvl<6)?20:((lvl<7)?24:((lvl<8)?28:((lvl<9)?30:40))))))))	1	10													1						1	7	10	12	1										1+stat('blessing_fire'.accr)/10	# fireball																					14		1								7															fire	12	13	23	28	33	38	28	15	25	30	35	40	lvl*5*ulvl*6/5								512	8000
Nova	48	sor	nova		22												leijcast				98304		ltngstrike	25		velocitypercent	-30	attackrate	-30																																																sorceress_cast_lightning											light_cast_1				25																	1	2		none												SC	SC	xx																	36	10					sorceress_cast_lightning	light_cast_2	(lvl<1)?1:((lvl<2)?2:((lvl<3)?4:((lvl<4)?8:((lvl<5)?16:((lvl<6)?20:((lvl<7)?24:((lvl<8)?28:((lvl<9)?30:40))))))))	1	10																			1	8	15	13	1																																		1								8															ltng	1	6	7	8	9	10	20	8	9	10	11	12	lvl*5*ulvl*6/5								512	8000
Lightning	49	sor	lightning		8												lightningbolt																																																												sorceress_cast_lightning											light_cast_1				17				lightningbolt	lightningbolt												1	6		none												SQ	SC	xx	12			1													1						sorceress_cast_lightning		(lvl<1)?1:((lvl<2)?2:((lvl<3)?4:((lvl<4)?8:((lvl<5)?16:((lvl<6)?20:((lvl<7)?24:((lvl<8)?28:((lvl<9)?30:40))))))))	1	10													1						1	7	16	14	1										1+stat('blessing_fire'.accr)/10	# lightning							10	minimum damage	20	max damage	4	increase in dam/level (min & max)									8		1								8															ltng	1	0	0	0	0	0	40	8	12	20	28	36	lvl*5*ulvl*6/5								512	8000
Shiver Armor	50		shiver armor		18																	shiverarmor		ln34+(skill('Frozen Armor'.blvl)+skill('Chilling Armor'.blvl))*par7		skill_armor_percent	ln12											attackedinmelee	3																																						sorceress_cast_cold				sorceress_shiverarmor							ice_cast_2	shiverarmor_hit								sparkle				10	sparkle delay	5	sparkle radius	3	sparkle height			1	0		none												SC	SC	xx																	1						sorceress_cast_cold	ice_cast_3	(lvl<1)?1:((lvl<2)?2:((lvl<3)?4:((lvl<4)?8:((lvl<5)?16:((lvl<6)?20:((lvl<7)?24:((lvl<8)?28:((lvl<9)?30:40))))))))	1	10																			1	8	11	11	1	1																	45	% AC base	6	% AC per level	3000	Duration	300	duration per level					250	duration synergy	9		1								7															cold	12	4	6	8	10	12	16	5	7	9	11	13	lvl*5*ulvl*6/5	100		25	50				512	8000
Fire Wall	51	sor	fire wall		28												yslxraincenter	yslxraincenter	yslxraincenter																																																										sorceress_cast_fire				sorceress_meteor							fire_cast_2				28					yslxraincenter												1	4		none												SC	SC	SC					4				1								1						sorceress_cast_fire	fire_cast_2	(lvl<1)?1:((lvl<2)?2:((lvl<3)?4:((lvl<4)?8:((lvl<5)?16:((lvl<6)?20:((lvl<7)?24:((lvl<8)?28:((lvl<9)?30:40))))))))	1	10												75							1	8	22	15	1																														1	damage synergy	4		1								4															fire	15	9	14	21	21	21	20	9	14	21	21	21	lvl*5*ulvl*6/5								640	16000
Enchant	52	sor	enchant		25																	enchant		ln12		firemindam	enma	firemaxdam	exma	item_tohit_percent	toht	blessing_fire	blvl																																												sorceress_enchant																																1	4		none												SC	SC	xx												1	1				1			1			sorceress_enchant		(lvl<1)?1:((lvl<2)?2:((lvl<3)?4:((lvl<4)?8:((lvl<5)?16:((lvl<6)?20:((lvl<7)?24:((lvl<8)?28:((lvl<9)?30:40))))))))	1	10																			1	8	25	1	1	1																	3600	duration	600	duration per level	33	missile pct									9		1	20	9						7															fire	16	3	7	11	15	19	20	5	9	13	17	21	lvl*5*ulvl*6/5						1		640	16000
Chain Lightning	53	sor	chain lightning											deathbibibispawner																																																															sorceress_cast_lightning											light_cast_1								deathbibibispawner													1	2		none												SC	SC	xx																	1						sorceress_cast_lightning		(lvl<1)?1:((lvl<2)?2:((lvl<3)?4:((lvl<4)?8:((lvl<5)?16:((lvl<6)?20:((lvl<7)?24:((lvl<8)?28:((lvl<9)?30:40))))))))	1	10												12	1						1	4	84	56	1										ln12/3	# target							4	target	1	target/lvl											4		1								8															ltng	1	0	0	0	0	0	40	11	13	15	15	15	lvl*5*ulvl*6/5								640	16000
Teleport	54	sor	teleport		27																																																																								sorceress_teleport											teleport																			1		1	0		none												SC	SC	xx																	1		1	2			sorceress_teleport	teleport	(lvl<1)?1:((lvl<2)?2:((lvl<3)?4:((lvl<4)?8:((lvl<5)?16:((lvl<6)?20:((lvl<7)?24:((lvl<8)?28:((lvl<9)?30:40))))))))	1	10												250-(blvl*50)							1	8	33	-5	1										250-(blvl*50)	delay																							1								8																																				640	16000
Glacial Spike	55		glacial spike											glacialspike										ln34 * (100 + skill('Blizzard'.blvl) * par7) / 100	ln12																																																				sorceress_cast_cold											ice_cast_2								glacialspike													1	7		none												SC	SC	SC																	1						sorceress_cast_cold		(lvl<1)?1:((lvl<2)?2:((lvl<3)?4:((lvl<4)?8:((lvl<5)?16:((lvl<6)?20:((lvl<7)?24:((lvl<8)?28:((lvl<9)?30:40))))))))	1	10													1						1	7	20	17	1																		4	radius	0	radius per level	50	freeze frames	3	freeze frames per level					3	freeze synergy	5		1								7															cold	8	9	26	28	30	32	15	10	27	29	31	33	lvl*5*ulvl*6/5								640	16000
Meteor	56		meteor		28												meteorcenter	meteorcenter	meteorcenter						ln12																																																				sorceress_cast_fire				sorceress_meteor							fire_cast_2				28					meteorcenter												1	6		none												SC	SC	xx					4				1								1						sorceress_cast_fire	fire_cast_2	(lvl<1)?1:((lvl<2)?2:((lvl<3)?4:((lvl<4)?8:((lvl<5)?16:((lvl<6)?20:((lvl<7)?24:((lvl<8)?28:((lvl<9)?30:40))))))))	1	10												30							1	7	34	21	1										ln12	radius							6	radius of explosion	0	radius per level	30	Frames of fire	15	Frames of fire per level							5		1								8															fire	20	8	39	79	81	83	31	9	41	81	83	85	lvl*5*ulvl*6/5								768	32000
Thunder Storm	57	sor	thunder storm	13	29												thunderstorm1					thunderstorm		ln12																																																					sorceress_thunder_cast									lightning		light_cast_2					84				thunderstorm1												1	5		none												SC	SC	xx																	1								(lvl<1)?1:((lvl<2)?2:((lvl<3)?4:((lvl<4)?8:((lvl<5)?16:((lvl<6)?20:((lvl<7)?24:((lvl<8)?28:((lvl<9)?30:40))))))))	1	10																			1	8	19	11	1	1		1	22-(blvl*2)														800	duration	200	additional duration/level	25	minimum repeat time	100	repeat time factor	0	min % repeat time	100	max % repeat time	17	radius			1								8															ltng	1	10	10	11	11	11	45	10	10	11	11	11	lvl*5*ulvl*6/5								768	32000
Energy Shield	58	sor	energy shield		23																	energyshield		ln12														absorbdamage	24																																						sorceress_cast_lightning				sorceress_energyshield					energyshieldhit0		light_cast_2																					1	4		none												SC	SC	xx																	1								(lvl<1)?1:((lvl<2)?2:((lvl<3)?4:((lvl<4)?8:((lvl<5)?16:((lvl<6)?20:((lvl<7)?24:((lvl<8)?28:((lvl<9)?30:40))))))))	1	10																			1	8	5	0	1	1									blvl*6+(ulvl/5)	damage absorption	par5-(blvl*4)	ratio					3600	duration	1500	additional duration/level					32	Mana Damage mult in sixteenths							1								8																20	5	2	1	1	1															768	32000
Blizzard	59		blizzard		28												blizzardcenter	blizzardcenter	blizzardcenter																																																										sorceress_cast_cold											ice_cast_3				28					blizzardcenter												1	7		none												SC	SC	xx					4				1								1						sorceress_cast_cold	ice_cast_3	(lvl<1)?1:((lvl<2)?2:((lvl<3)?4:((lvl<4)?8:((lvl<5)?16:((lvl<6)?20:((lvl<7)?24:((lvl<8)?28:((lvl<9)?30:40))))))))	1	10												45							1	8	23	1	1										par1	radius	par3	frequency					7	radius			4	Missile delay	0	Change duration in Missiles.xls							5		1								8															cold	3	6	30	45	55	65	20	9	31	46	56	66	lvl*5*ulvl*6/5	100							768	32000
Chilling Armor	60		chilling armor		18												chillingarmorbolt					chillingarmor		ln34+(skill('Frozen Armor'.blvl)+skill('Shiver Armor'.blvl))*par7		skill_armor_percent	ln12											hitbymissile	1																																						sorceress_cast_cold				sorceress_shiverarmor							ice_cast_3	chillarmor_hit								chillingarmorbolt												1	5		none												SC	SC	xx																	1						sorceress_cast_cold		(lvl<1)?1:((lvl<2)?2:((lvl<3)?4:((lvl<4)?8:((lvl<5)?16:((lvl<6)?20:((lvl<7)?24:((lvl<8)?28:((lvl<9)?30:40))))))))	1	10																			1	8	17	0	1	1																	45	% AC Bonus	5	% AC bonus per level	3600	duration	150	duration per level					250	duration synergy	7		1								7															cold	8	2	4	6	8	10	12	3	5	7	9	11	lvl*5*ulvl*6/5	100		25	25		1		768	32000
Fire Mastery	61		fire mastery																																											firemastery		passive_fire_mastery	ln12																																																												1	3		none												SC	SC	xx																	1								(lvl<1)?1:((lvl<2)?2:((lvl<3)?4:((lvl<4)?8:((lvl<5)?16:((lvl<6)?20:((lvl<7)?24:((lvl<8)?28:((lvl<9)?30:40))))))))	1	10												45	1						0	8	0	0	1						1												30	% Damage bonus	7	% Damage bonus per level													1								8															fire																					896	64000
Hydra	62		hydra	14	144																																											passive_fire_mastery	stat('passive_fire_mastery'.accr)	passive_fire_pierce	stat('passive_fire_pierce'.accr)									hydra1	hydra	99	S2	HydraMissile	(blvl*7)-4*(2+blvl-2)	Fire Bolt	skill('Fire Bolt'.blvl)	Fire Ball	skill('Fire Ball'.blvl)							1	sorceress_cast_fire											fire_cast_2			17																		1	7		none												SC	SC	S1					4												1				1		sorceress_cast_fire	fire_cast_2	(lvl<1)?1:((lvl<2)?2:((lvl<3)?4:((lvl<4)?8:((lvl<5)?16:((lvl<6)?20:((lvl<7)?24:((lvl<8)?28:((lvl<9)?30:40))))))))	1	10												40							1	7	40	1	1																		250	duration	0	additional duration/level											3		1								7															fire	5	5	15	19	23	27	9	6	17	21	25	29									896	64000
Lightning Mastery	63	sor	lightning mastery																																											lightningmastery		passive_ltng_mastery	ln12-(ulvl/5)	passive_fire_mastery	ln12-(ulvl/5)	passive_cold_pierce	ln12/3																																																								1	5		none												SC	SC	xx																	1								(lvl<1)?1:((lvl<2)?2:((lvl<3)?4:((lvl<4)?8:((lvl<5)?16:((lvl<6)?20:((lvl<7)?24:((lvl<8)?28:((lvl<9)?30:40))))))))	1	10													1						0	8	0	0	1						1												20	% Damage bonus	20	% Damage bonus per level													1								8																																				896	64000
Frozen Orb	64		frozen orb											frozenorb																																																															sorceress_cast_cold											ice_cast_3				29					frozenorb												1	8		none												SC	SC	xx																	1						sorceress_cast_cold		(lvl<1)?1:((lvl<2)?2:((lvl<3)?4:((lvl<4)?8:((lvl<5)?16:((lvl<6)?20:((lvl<7)?24:((lvl<8)?28:((lvl<9)?30:40))))))))	1	10												25	1						1	7	50	1	1																																2		1								7															cold	80	20	24	28	29	30	90	21	25	29	30	31		200	25	25	25				896	64000
Cold Mastery	65		cold mastery																																											coldmastery		passive_cold_pierce	ln12																																																												1	3		none												SC	SC	xx																	1								(lvl<1)?1:((lvl<2)?2:((lvl<3)?4:((lvl<4)?8:((lvl<5)?16:((lvl<6)?20:((lvl<7)?24:((lvl<8)?28:((lvl<9)?30:40))))))))	1	10													1						0	8	0	0	1						1												20	lower resist	5	lower resist per level													1								8																																				896	64000
Amplify Damage	66	nec	amplify damage		30																3		amplifydamage	ln34	ln12	damageresist	40+(blvl*2)																																																		necromancer_curse_cast														18	30					curseamplifydamage		cursecast										1	10		none												SC	SC	S2					4												1						necromancer_curse_cast		(lvl<1)?1:((lvl<2)?2:((lvl<3)?4:((lvl<4)?8:((lvl<5)?16:((lvl<6)?20:((lvl<7)?24:((lvl<8)?28:((lvl<9)?30:40))))))))	1	10																			1	8	4	0	1										par5+(blvl*3)+(ulvl/10)							zmena desc	3	radius	3	radius per level	200	duration	250	additional duration/level	50	% additional damage taken							1								8																																				256	1000
Teeth	67	nec	teeth		8												teeth																																																												necromancer_bone_cast														19	17					teeth	teeth	bonecast										1	1		none												SC	SC	xx																	1						necromancer_bone_cast		(lvl<1)?1:((lvl<2)?2:((lvl<3)?4:((lvl<4)?8:((lvl<5)?16:((lvl<6)?20:((lvl<7)?24:((lvl<8)?28:((lvl<9)?30:40))))))))	1	10													1						1	7	6	7	1										"min(ln12,44)"+(blvl+par1-3)	# missiles	par3	activation frame					3	number of missiles	2	additional missiles/level	0	Acivation frame of teeth										damage synergy	1								8															mag	2	4	12	64	52	54	5	5	16	103	85	6	stat('energy'.base/3)+(blvl*5)*(ulvl*6)/5								256	1000
Bone Armor	68	nec	bone armor		18																	bonearmor				bonearmor	2/ulvl*lvl	bonearmormax	(ulvl*blvl+100)									absorbdamage	22																																						necromancer_bonearmor																																1	3		none												SC	SC	xx																	1						necromancer_bonearmor		(lvl<1)?1:((lvl<2)?2:((lvl<3)?4:((lvl<4)?8:((lvl<5)?16:((lvl<6)?20:((lvl<7)?24:((lvl<8)?28:((lvl<9)?30:40))))))))	1	10																			1	8	11	3	1	1									(ulvl/2)*blvl+4							zmena desc	20	damage absorbed	10	additional absorbed/level											15	absorb synergy	1								8																												stat('energy'.base/3)+(blvl*5)*(ulvl*6)								256	1000
Skeleton Mastery	69		skeleton mastery																																											skel_mastery																																																															1	0		none												SC	SC	xx																									(lvl<1)?1:((lvl<2)?2:((lvl<3)?4:((lvl<4)?8:((lvl<5)?16:((lvl<6)?20:((lvl<7)?24:((lvl<8)?28:((lvl<9)?30:40))))))))	1	10																			0	8	0	5	1						1												8	additional hit points/level	2	additional damage per level	5	hp% per level for revive	10	dmg% per level for revive									1								8																																				256	1000
Raise Skeleton	70	nec	raise skeleton	15	31																					damagepercent	lvl*47	tohit	blvl*400	armorclass	(lvl+skill('Skeleton Mastery'.lvl))*par5																	maxhp	skill('Skeleton Mastery'.lvl) * skill('Skeleton Mastery'.par1) * 256	item_normaldamage	skill('Skeleton Mastery'.lvl) * skill('Skeleton Mastery'.par2) + edmn									necroskeleton	skeleton	lvl*2+(ulvl/20)	S1													1	necromancer_golem_cast														20	31					corpseexplosion												1	0		none												SC	SC	xx								1		2	1														(lvl<1)?1:((lvl<2)?2:((lvl<3)?4:((lvl<4)?8:((lvl<5)?16:((lvl<6)?20:((lvl<7)?24:((lvl<8)?28:((lvl<9)?30:40))))))))	1	10																			1	8	6	5	1										(lvl < 4) ? 0 : (par2 * (lvl - 3))+ulvl	hp % adjustment							5	% chance of shield	100	hp%/lvl	14	dmg%/lvl	30	to hit/lvl	30	ac/lvl							1								8																4	5	10	48	64	66	15	7	11	80	57		stat('energy'.base/3)+(blvl*4)*(ulvl*3)								256	1000
Dim Vision	71		dim vision		30																2		dimvision	ln34	ln12																																																				necromancer_curse_cast														18	30					cursedimvision		cursecast										1	0		none												SC	SC	xx					4												1						necromancer_curse_cast		(lvl<1)?1:((lvl<2)?2:((lvl<3)?4:((lvl<4)?8:((lvl<5)?16:((lvl<6)?20:((lvl<7)?24:((lvl<8)?28:((lvl<9)?30:40))))))))	1	10																			1	8	9	4	1																		4	radius	1	radius per level	175	duration	50	additional duration/level									1								8																																				384	3000
